title	authors	journal	year	pmid	pmcid	doi
Microenvironment characterization and multi-omics signatures related to prognosis and immunotherapy response of hepatocellular carcinoma.	Liu F, Qin L, Liao Z, Song J, Yuan C, Liu Y, Wang Y, Xu H, Zhang Q, Pei Y, Zhang H, Pan Y, Chen X, Zhang Z, Zhang W, Zhang B.	Experimental hematology & oncology	2020	32509418	PMC7249423	10.1186/s40164-020-00165-3
Feasibility of Radiomics to Differentiate Coronavirus Disease 2019 (COVID-19) from H1N1 Influenza Pneumonia on Chest Computed Tomography: A Proof of Concept.	Tabatabaei M, Tasorian B, Goyal M, Moini A, Sotoudeh H.	Iranian journal of medical sciences	2021	34840382	PMC8611216	10.30476/ijms.2021.88036.1858
Prediction of individual brain maturity using fMRI.	Dosenbach NU, Nardos B, Cohen AL, Fair DA, Power JD, Church JA, Nelson SM, Wig GS, Vogel AC, Lessov-Schlaggar CN, Barnes KA, Dubis JW, Feczko E, Coalson RS, Pruett JR, Barch DM, Petersen SE, Schlaggar BL.	Science (New York, N.Y.)	2010	20829489	PMC3135376	10.1126/science.1194144
Automatic classification of white regions in liver biopsies by supervised machine learning.	Vanderbeck S, Bockhorst J, Komorowski R, Kleiner DE, Gawrieh S.	Human pathology	2014	24565203	PMC8374469	10.1016/j.humpath.2013.11.011
Multiomics-Based Deep Learning Prediction of Prognosis and Therapeutic Response in Patients With Extensive-Stage Small Cell Lung Cancer Receiving Chemoimmunotherapy: A Retrospective Cohort Study.	Nie F, Pei X, Du J, Shi W, Wang J, Feng L, Liu Y.	International journal of general medicine	2025	40026810	PMC11869764	10.2147/ijgm.s506485
Development of Various Diabetes Prediction Models Using Machine Learning Techniques.	Shin J, Kim J, Lee C, Yoon JY, Kim S, Song S, Kim HS.	Diabetes & metabolism journal	2022	35272434	PMC9353566	10.4093/dmj.2021.0115
Evaluation of the accuracy of heart dose prediction by machine learning for selecting patients not requiring deep inspiration breath‑hold radiotherapy after breast cancer surgery.	Kamizaki R, Kuroda M, Al-Hammad WE, Tekiki N, Ishizaka H, Kuroda K, Sugimoto K, Oita M, Tanabe Y, Barham M, Sugianto I, Nakamitsu Y, Hirano M, Muto Y, Ihara H, Sugiyama S.	Experimental and therapeutic medicine	2023	37869640	PMC10587874	10.3892/etm.2023.12235
Identification of Metabotropic Glutamate Receptor Subtype 5 Potentiators Using Virtual High-Throughput Screening.	Mueller R, Rodriguez AL, Dawson ES, Butkiewicz M, Nguyen TT, Oleszkiewicz S, Bleckmann A, Weaver CD, Lindsley CW, Conn PJ, Meiler J.	ACS chemical neuroscience	2010	20414370	PMC2857954	10.1021/cn9000389
Establishing a radiomics model using contrast-enhanced ultrasound for preoperative prediction of neoplastic gallbladder polyps exceeding 10 mm.	Jiang D, Qian Y, Gu Y, Wang R, Yu H, Wang Z, Dong H, Chen D, Chen Y, Jiang H, Li Y.	European journal of medical research	2025	39901203	PMC11789348	10.1186/s40001-025-02292-1
Impact of deep learning-determined smoking status on mortality of cancer patients: never too late to quit.	Karlsson A, Ellonen A, Irjala H, Väliaho V, Mattila K, Nissi L, Kytö E, Kurki S, Ristamäki R, Vihinen P, Laitinen T, Ålgars A, Jyrkkiö S, Minn H, Heervä E.	ESMO open	2021	34091262	PMC8182259	10.1016/j.esmoop.2021.100175
